ID,Cubic_AIC,HollingI_AIC,HollingII_AIC,HollingIII_AIC,Cubic_BIC,HollingI_BIC,HollingII_BIC,HollingIII_BIC,a_Holl1,h_Holl2,a_Holl2,h_Holl3,a_Holl3
6,-499.5963082005172,-580.3124731389948,-584.359356408618,-584.0083506327036,-496.79391343719294,-578.9112757573326,-581.5569616452938,-581.2059558693793,4.438574986716261e-06,3018.0493059990267,9.672818102046676e-06,4681.471664418402,7.438494264988549e-07
71,-96.18614682610495,-110.31564230968056,-110.63597589388289,-111.98975062417968,-96.60262788764884,-110.5238828404525,-111.05245695542678,-112.40623168572357,7.273939209726444e-06,1475.1895972659468,1.3752887717544127e-05,2534.9646502091373,1.0158540675320182e-06
79,-184.0774025555002,-180.29635554158074,-205.2634523959414,-206.56897010028854,-183.4722323695121,-179.9937704485867,-204.6582822099533,-205.96379991430044,4.7252926704257105e-06,2027.9288957172348,1.8726686867864828e-05,2616.4017830555554,1.2462253451417382e-06
140,-37.675720142384534,-30.134361330437876,-51.1152364368631,-40.37581472278414,-38.092201203928425,-30.342601861209822,-51.53171749840699,-40.79229578432803,0.00044620054454736136,3.325437874734938,0.0022816748490583905,4.228225460312096,3.429201367310952e-05
351,-17.29213945587985,-48.705009258552344,-46.7050092324501,-50.416648277526235,-15.203094580433003,-47.66048682082892,-44.61596435700326,-48.32760340207939,0.000506520513996612,0.0,0.0005065170505247352,0.0863413470164609,1.0547118733938987e-07
450,-141.51409915468997,-137.51243673368361,-146.95376126164808,-141.87586999164256,-141.93058021623386,-137.72067726445556,-147.37024232319197,-142.29235105318645,3.0786842105263157e-06,14144.312623697419,9.173217740965356e-06,20385.41516455228,3.372302437298913e-06
687,-1122.4508533347032,-1204.862938499784,-1279.109211135976,-1287.9704035194466,-1118.2957784468917,-1202.7854010558783,-1274.9541362481646,-1283.815328631635,4.2119554448189955e-06,7632.204990006719,2.0577983761427276e-05,9544.629862382691,6.167288901792745e-06
691,-1071.2653995873186,-1222.9188080957024,-1241.3528872428913,-1236.253424506371,-1067.0767104628744,-1220.8244635334802,-1237.164198118447,-1232.0647353819268,5.416324102564104e-06,4051.320712276818,1.2337353361147052e-05,6536.194674559237,2.2870594307278225e-06
695,-84.24415660702172,-90.90473696766492,-93.8545952868538,-87.69669120694648,-85.02528078215352,-91.29529905523081,-94.63571946198559,-88.47781538207828,4.8336132867132904e-05,242.23136678802604,6.638578575746124e-05,631.7946643080719,7.810418978237976e-06
708,-105.94926678642794,-91.09100270659019,-105.56323457675097,-104.33102714252804,-106.73039096155973,-91.48156479415609,-106.34435875188277,-105.11215131765984,4.702924340175954e-06,2903.99991600776,2.6018076582090544e-05,3595.01093139819,3.47499806707674e-06
713,-538.8700684250182,-592.8797757513767,-626.5082860610729,-623.1994092078032,-536.0020940160479,-591.4457885468915,-623.6403116521026,-620.3314347988329,3.2343212850370968e-06,5861.908643905678,3.372302437298913e-05,6757.995920308846,9.250933352689117e-06
721,-153.22763373055656,-144.79557507523967,-163.45326675467658,-158.3187548659947,-153.64411479210045,-145.0038156060116,-163.86974781622047,-158.73523592753858,4.820616113744077e-07,74284.18863309988,6.458722445756848e-06,83173.7339120725,3.5194069880617462e-06
920,-9.294945256258266,-8.490593678368878,-30.970236789585478,-32.64810500820337,-9.711426317802157,-8.698834209140824,-31.38671785112937,-33.064586069747264,0.0017641276168887854,1.0132783243577137,0.02527540399199779,1.141398939863425,0.0007756267850211884
39835,-104.71673107138028,-126.57223575238794,-125.0231076632463,-118.52681542817163,-104.55784798802061,-126.4927942107081,-124.86422457988662,-118.36793234481196,8.782852547169812e-05,29.2816758111214,9.663381206337363e-05,186.36999599902504,6.750155989720952e-06
39836,-197.8514272008442,-163.5115833698156,-225.5075128690401,-172.52179390134273,-197.2462570148561,-163.20899827682157,-224.902342683052,-171.91662371535463,1.640836571459532e-05,167.03351314029112,2.81830114801096e-05,324.0122173037152,6.13398221105399e-07
39837,-174.36704301949635,-186.10916573099388,-201.5535422239865,-182.01168339778826,-173.76187283350825,-185.80658063799984,-200.9483720379984,-181.40651321180016,9.861204137973892e-06,165.30181306689818,1.3011813848606835e-05,497.7893479346518,2.6645352591003757e-07
39838,-205.5463832115886,-209.10534378016993,-233.8372759785093,-195.44828914680215,-204.9412130256005,-208.8027586871759,-233.2321057925212,-194.84311896081405,5.363387373775162e-06,168.0234538068981,6.23945339839338e-06,816.692017309828,1.1657341758564144e-07
39839,-200.13929994765266,-199.49831735352407,-212.8655995572832,-194.54691588143893,-199.53412976166456,-199.19573226053004,-212.2604293712951,-193.94174569545083,3.530034986617706e-06,576.6957277617557,5.137557046452912e-06,1392.765030859,1.0269562977782698e-07
39840,-16.753945289745715,-106.32912221838065,-116.55076401250385,-112.44112490929216,-13.586907412833495,-104.74560327992454,-113.38372613559163,-109.27408703237994,0.1655784741935484,1.281643339845484,0.5701924543632941,1.7649603244462853,0.9817057194938528
